id_fundo,nome_fundo,data,rentabilidade_mensal,risco,data_formatada
101,Fundo Alpha,2023-01-31,1.22,Baixo,31/01/2023
102,Fundo Beta,2023-01-31,0.03,Médio,31/01/2023
103,Fundo Gama,2023-01-31,1.18,Médio,31/01/2023
101,Fundo Alpha,2023-02-28,1.08,Alto,28/02/2023
102,Fundo Beta,2023-02-28,0.22,Médio,28/02/2023
103,Fundo Gama,2023-02-28,0.68,Alto,28/02/2023
101,Fundo Alpha,2023-03-31,1.1,Baixo,31/03/2023
102,Fundo Beta,2023-03-31,0.2,Baixo,31/03/2023
103,Fundo Gama,2023-03-31,1.18,Médio,31/03/2023
101,Fundo Alpha,2023-04-30,0.76,Baixo,30/04/2023
102,Fundo Beta,2023-04-30,0.33,Alto,30/04/2023
103,Fundo Gama,2023-04-30,1.77,Médio,30/04/2023
101,Fundo Alpha,2023-05-31,0.66,Médio,31/05/2023
102,Fundo Beta,2023-05-31,0.17,Médio,31/05/2023
103,Fundo Gama,2023-05-31,0.98,Médio,31/05/2023
101,Fundo Alpha,2023-06-30,0.79,Alto,30/06/2023
102,Fundo Beta,2023-06-30,0.185,Baixo,30/06/2023
103,Fundo Gama,2023-06-30,1.78,Médio,30/06/2023
101,Fundo Alpha,2023-07-31,0.45,Médio,31/07/2023
102,Fundo Beta,2023-07-31,0.14,Médio,31/07/2023
103,Fundo Gama,2023-07-31,1.05,Médio,31/07/2023
101,Fundo Alpha,2023-08-31,1.19,Médio,31/08/2023
102,Fundo Beta,2023-08-31,0.23,Baixo,31/08/2023
103,Fundo Gama,2023-08-31,1.41,Médio,31/08/2023
101,Fundo Alpha,2023-09-30,0.93,Médio,30/09/2023
102,Fundo Beta,2023-09-30,0.15,Alto,30/09/2023
103,Fundo Gama,2023-09-30,1.04,Alto,30/09/2023
101,Fundo Alpha,2023-10-31,1.0050000000000001,Alto,31/10/2023
102,Fundo Beta,2023-10-31,0.3,Alto,31/10/2023
103,Fundo Gama,2023-10-31,0.85,Baixo,31/10/2023
101,Fundo Alpha,2023-11-30,0.53,Alto,30/11/2023
102,Fundo Beta,2023-11-30,0.21,Médio,30/11/2023
103,Fundo Gama,2023-11-30,1.05,Médio,30/11/2023
101,Fundo Alpha,2023-12-31,1.5,Médio,31/12/2023
102,Fundo Beta,2023-12-31,0.39,Médio,31/12/2023
103,Fundo Gama,2023-12-31,0.01,Médio,31/12/2023
101,Fundo Alpha,2024-01-31,1.11,Médio,31/01/2024
102,Fundo Beta,2024-01-31,0.18,Médio,31/01/2024
103,Fundo Gama,2024-01-31,0.89,Baixo,31/01/2024
101,Fundo Alpha,2024-02-29,1.0050000000000001,Baixo,29/02/2024
102,Fundo Beta,2024-02-29,0.11,Alto,29/02/2024
103,Fundo Gama,2024-02-29,1.18,Médio,29/02/2024
101,Fundo Alpha,2024-03-31,1.0050000000000001,Baixo,31/03/2024
102,Fundo Beta,2024-03-31,0.17,Alto,31/03/2024
103,Fundo Gama,2024-03-31,1.74,Alto,31/03/2024
101,Fundo Alpha,2024-04-30,1.0050000000000001,Alto,30/04/2024
102,Fundo Beta,2024-04-30,0.23,Médio,30/04/2024
103,Fundo Gama,2024-04-30,0.74,Médio,30/04/2024
101,Fundo Alpha,2024-05-31,0.92,Alto,31/05/2024
102,Fundo Beta,2024-05-31,0.11,Alto,31/05/2024
103,Fundo Gama,2024-05-31,0.6,Alto,31/05/2024
101,Fundo Alpha,2024-06-30,0.62,Baixo,30/06/2024
102,Fundo Beta,2024-06-30,0.19,Baixo,30/06/2024
103,Fundo Gama,2024-06-30,0.75,Médio,30/06/2024
101,Fundo Alpha,2024-07-31,1.0050000000000001,Médio,31/07/2024
102,Fundo Beta,2024-07-31,0.08,Baixo,31/07/2024
103,Fundo Gama,2024-07-31,1.46,Alto,31/07/2024
101,Fundo Alpha,2024-08-31,0.91,Baixo,31/08/2024
102,Fundo Beta,2024-08-31,0.04,Baixo,31/08/2024
103,Fundo Gama,2024-08-31,1.16,Médio,31/08/2024
101,Fundo Alpha,2024-09-30,1.2,Alto,30/09/2024
102,Fundo Beta,2024-09-30,0.3,Alto,30/09/2024
103,Fundo Gama,2024-09-30,0.74,Médio,30/09/2024
101,Fundo Alpha,2024-10-31,0.79,Médio,31/10/2024
102,Fundo Beta,2024-10-31,0.26,Alto,31/10/2024
103,Fundo Gama,2024-10-31,1.26,Médio,31/10/2024
101,Fundo Alpha,2024-11-30,0.85,Médio,30/11/2024
102,Fundo Beta,2024-11-30,0.15,Baixo,30/11/2024
103,Fundo Gama,2024-11-30,1.05,Médio,30/11/2024
101,Fundo Alpha,2024-12-31,0.86,Médio,31/12/2024
102,Fundo Beta,2024-12-31,0.27,Baixo,31/12/2024
103,Fundo Gama,2024-12-31,1.48,Médio,31/12/2024
